case,dual_relaxed_median_ms,dual_relaxed_iqr_ms,dual_relaxed_mean_ms,dual_relaxed_std_ms,dual_cmp_median_ms,dual_cmp_iqr_ms,dual_cmp_mean_ms,dual_cmp_std_ms,dual_principal_median_ms,dual_principal_iqr_ms,dual_principal_mean_ms,dual_principal_std_ms,cvxpy_relaxed_median_ms,cvxpy_relaxed_iqr_ms,cvxpy_relaxed_mean_ms,cvxpy_relaxed_std_ms,cvxpy_cmp_median_ms,cvxpy_cmp_iqr_ms,cvxpy_cmp_mean_ms,cvxpy_cmp_std_ms,cvxpy_principal_median_ms,cvxpy_principal_iqr_ms,cvxpy_principal_mean_ms,cvxpy_principal_std_ms,n_runs,warmup_runs_discarded
gaussian-easy,0.719750503776595,0.09499877342022955,0.7754478981951252,0.16316246868105602,1.6056250024121255,0.06607273098779842,1.6552313521970063,0.13397462439301686,54.18429149722215,1.0747499836725183,54.38379584957147,0.8032408155713282,8.96577100502327,0.15983324556145817,9.025025002483744,0.11284278757376918,229.305271001067,7.6116874915896915,234.9687146517681,11.572350840055014,17147.433166988776,178.38506275438704,16998.284170897387,422.8322485783344,20,1
gaussian-hard,0.6682920211460441,0.11859297228511423,0.7717375527136028,0.3297271752254076,6.554437015438452,0.3298337323940359,6.510579099995084,0.21562592413406512,212.65412449429277,0.5699995090253651,212.94329575175652,1.3745363954366656,8.226083489716984,0.11621849262155592,8.319058296910953,0.24191126978024638,140.58547899185214,3.67626101069618,139.1846083017299,5.900748148819472,14837.244895999902,294.9359162521432,14713.925370750076,290.0199112370834,20,1
t,0.6908125069458038,0.1301980228163302,0.7548541500000283,0.16828775487791842,8.674416501889937,0.5608952560578473,8.784720953553915,0.4845384504620402,7714.499187510228,433.20380200020736,7592.643595900154,376.08415994224964,6.588749500224367,0.5839172517880797,6.870462351071183,0.6146437899664641,204.4682709965855,2.4032497458392754,204.31600835145218,3.420716192553893,17599.46118699736,129.26539574255003,17601.31002919952,210.49750304311397,20,1
